"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Mongolia","315.58","188.57","197.55","188.86","160.92","169.04","165.85","177.32","180.84","169.84","136.05","99.48","76.66","97.29","66.24","49.60","37.03","32.63","26.01","29.05","25.92","26.42"
"Montenegro","985.09","866.17","732.35","727.26","611.53","596.28","576.84","578.73","596.48","535.58","572.47","","","","","","","","","","",""
"Morocco","221.11","193.10","177.25","175.28","166.47","161.83","162.51","188.40","179.73","172.06","179.05","168.38","165.44","153.10","131.67","110.00","96.96","90.93","77.51","63.35","56.33","54.39"
"Mozambique","44.52","34.37","40.41","40.81","36.26","31.38","39.91","43.08","41.18","35.03","30.28","26.18","27.63","24.26","19.30","18.10","18.49","14.23","11.15","9.95","8.53","6.96"
"Myanmar","65.23","72.04","61.57","60.38","59.07","59.22","63.14","53.87","37.40","36.97","27.20","20.08","18.57","14.61","9.85","8.42","7.61","6.98","6.54","7.04","4.60","4.45"
"Namibia","456.44","378.42","432.15","472.99","475.58","430.22","495.63","466.20","495.20","557.59","569.14","522.16","386.20","413.37","465.08","410.32","375.39","347.90","257.41","173.69","185.72","200.05"
"Nauru","1529.52","1318.17","1158.77","1175.69","1092.88","957.29","959.49","746.36","818.12","859.05","659.43","614.13","563.17","791.20","572.73","354.25","320.37","210.49","266.06","291.12","341.19","454.44"
"Nepal","65.30","58.31","52.83","50.40","49.33","47.28","46.86","42.30","35.41","33.90","34.40","29.82","20.98","18.94","17.19","13.70","14.16","12.93","11.07","10.46","10.26","8.34"
"Netherlands (Kingdom of the)","6539.20","5858.42","5340.61","5330.66","4934.58","4753.67","4676.56","5601.89","5532.73","5284.65","5562.12","5191.69","5282.74","5382.45","4696.14","4080.22","3823.48","3689.46","3244.36","2544.81","2175.73","2028.18"
"New Zealand","4906.07","4223.22","4085.79","3957.86","3903.68","3739.40","3600.96","4192.74","4014.97","3856.17","3656.73","3233.78","2713.81","2851.12","2706.80","2305.15","2296.61","1983.19","1611.79","1250.93","1054.33","1054.91"
"Nicaragua","198.08","161.20","161.99","168.45","177.15","167.37","161.28","152.64","137.10","130.78","122.53","115.32","110.53","107.07","92.09","77.76","72.14","65.15","60.82","56.95","56.52","52.25"
"Niger","34.34","34.85","31.22","30.09","28.69","22.43","25.73","24.89","24.44","22.57","24.69","23.34","24.41","24.71","20.84","19.79","18.54","13.96","12.45","10.75","9.59","8.96"
"Nigeria","83.84","69.76","69.68","65.70","72.77","78.24","96.28","106.12","100.82","91.06","83.11","75.59","68.01","80.10","69.15","65.72","53.93","44.16","39.08","18.06","18.49","17.65"
"Niue","1911.77","1319.10","1156.83","1324.65","1222.98","1032.93","1120.29","1603.52","1348.95","1292.48","2297.55","1516.17","2249.53","2044.73","2044.29","3647.83","907.32","1080.50","511.34","424.90","1331.91","291.53"
"North Macedonia","560.31","452.97","421.39","387.47","344.92","322.92","302.75","339.38","345.85","307.04","326.08","301.87","293.72","311.30","263.06","243.55","231.04","231.87","215.36","173.70","151.38","164.22"
"Norway","9020.63","7704.44","8007.36","8271.86","7815.79","7496.77","7565.55","9118.32","9241.27","8970.12","8900.37","7859.52","7301.96","7768.05","6895.56","5892.99","5584.69","5097.34","4632.57","3889.96","3099.00","2948.93"
"Oman","852.62","855.30","728.25","639.32","703.94","713.32","765.79","725.41","590.36","562.95","540.39","558.37","507.65","462.29","391.80","335.85","319.71","298.48","282.29","266.53","252.55","254.94"
"Pakistan","43.09","38.18","37.22","41.41","43.41","37.60","35.01","33.05","29.00","26.29","25.67","24.21","23.66","24.81","26.51","24.66","19.38","15.29","14.12","14.75","13.21","15.20"
"Palau","2045.30","2058.66","2102.07","2072.98","2036.63","1977.64","1809.50","1675.83","1520.32","1377.39","1161.53","1153.06","1007.31","979.43","992.50","931.17","871.57","827.09","698.83","658.49","625.21","656.81"
"Panama","1415.24","1358.09","1340.14","1228.07","1127.69","1057.41","982.79","920.08","806.59","725.86","665.85","608.25","551.59","507.56","472.90","371.34","323.75","345.24","304.24","309.41","297.58","301.53"
"Papua New Guinea","61.41","56.31","60.31","59.45","55.63","54.37","45.51","89.70","77.28","70.76","52.85","39.61","36.78","34.91","33.39","30.22","27.65","25.88","22.10","20.66","18.29","18.94"
"Paraguay","478.71","410.89","415.89","421.09","405.53","384.45","392.22","439.34","390.29","367.15","336.12","257.06","216.59","219.67","160.37","121.80","94.68","87.64","70.50","64.76","91.42","104.02"
"Peru","412.21","388.49","366.56","363.42","333.12","311.44","310.27","331.78","320.32","307.32","262.97","240.26","208.39","190.85","158.17","135.87","123.05","105.01","97.20","97.50","89.20","83.46"
"Philippines","203.18","166.45","142.24","126.31","121.88","120.15","115.95","108.72","121.71","111.60","97.86","90.96","78.85","76.89","65.37","54.86","46.61","34.21","32.29","27.36","28.23","32.79"
"Poland","1159.33","1025.98","1014.04","978.74","909.58","813.47","803.96","911.30","878.09","815.14","866.09","809.20","759.61","892.60","660.92","524.10","465.70","392.00","339.34","315.83","282.82","238.00"
"Portugal","2746.69","2346.33","2221.73","2216.31","1998.06","1875.24","1790.53","2059.93","2030.63","1980.02","2255.97","2259.30","2346.54","2391.98","2112.53","1857.65","1814.35","1723.74","1443.38","1139.40","1015.55","995.34"
"Qatar","1934.08","1997.79","2012.23","1962.58","1908.40","2075.42","2435.45","2256.39","2027.01","1713.98","1487.85","1306.53","1305.49","1277.08","1276.88","1321.56","1347.96","1254.14","1109.73","667.00","597.94","552.27"
"Republic of Korea","3260.45","2648.22","2605.99","2501.14","2220.56","2008.10","1894.35","1880.44","1682.76","1553.33","1507.56","1363.56","1099.14","1137.21","1204.76","1062.20","887.70","708.58","633.09","531.89","500.08","475.03"
"Republic of Moldova","410.12","306.65","284.31","276.47","243.95","171.18","186.44","230.77","231.66","223.62","214.98","198.29","208.53","185.56","135.44","100.11","79.33","64.61","38.44","33.92","25.40","21.38"
"Romania","963.01","809.59","738.56","687.15","555.11","476.25","442.24","503.35","495.24","401.67","426.60","472.21","449.38","521.32","415.07","291.00","254.53","190.80","143.55","96.58","78.82","69.89"
"Russian Federation","935.73","771.32","654.00","609.35","579.98","465.43","499.15","739.59","809.14","758.97","684.27","567.03","516.44","609.85","461.98","352.71","271.64","208.80","164.27","140.39","117.78","95.13"
"Rwanda","60.22","57.91","51.19","51.54","48.34","50.70","48.81","50.62","47.71","57.22","51.65","48.03","44.08","40.05","33.58","27.24","25.10","20.29","17.30","7.35","7.93","9.12"
"Saint Kitts and Nevis","1114.37","1050.64","1204.34","1103.17","1167.66","1144.54","1026.51","947.63","924.61","867.38","907.03","856.67","865.85","875.11","703.31","684.95","553.53","488.83","480.23","462.63","438.06","444.57"
"Saint Lucia","584.67","574.38","491.41","484.15","492.83","470.38","464.57","462.74","481.92","454.56","462.87","438.17","432.55","430.82","440.22","390.34","333.50","309.42","317.14","299.51","284.42","284.26"
"Saint Vincent and the Grenadines","448.31","402.06","369.37","357.33","338.26","314.80","303.94","301.08","301.93","300.58","277.80","283.60","266.23","257.80","245.89","210.94","198.35","188.82","178.19","175.32","162.73","149.57"
"Samoa","263.89","252.84","240.10","198.35","218.37","235.73","238.09","245.94","245.21","195.40","210.12","183.87","170.97","155.52","146.51","132.24","120.18","103.41","81.08","71.58","55.38","59.70"
"San Marino","4131.94","3842.77","3854.10","4012.65","3706.97","3656.28","3564.85","4161.49","4154.93","4353.61","4504.63","3695.15","4110.08","4235.85","3672.23","3132.23","2958.66","2868.36","2440.29","2214.67","2186.57","2174.30"
"Sao Tome and Principe","186.10","158.96","106.27","108.28","116.49","109.23","84.51","118.93","124.10","86.12","84.75","74.38","76.36","77.46","69.87","66.82","89.39","79.00","78.68","57.03","53.05","56.14"
"Saudi Arabia","1442.00","1355.72","1279.69","1291.13","1261.17","1243.94","1198.34","1230.85","1059.09","959.83","826.34","655.12","646.34","562.85","560.91","536.69","459.89","391.91","370.92","356.14","371.99","370.42"
"Senegal","71.22","76.78","65.75","65.78","57.67","54.94","54.20","62.21","61.03","56.95","58.30","51.82","50.86","49.78","41.33","39.09","36.86","43.03","36.11","27.20","24.11","22.00"
"Serbia","919.17","670.19","641.03","617.09","515.85","486.43","491.25","608.86","627.53","559.91","618.89","545.33","575.26","671.89","547.23","371.51","307.55","274.46","230.09","173.26","112.20","56.48"
"Seychelles","718.49","781.52","769.75","784.73","736.65","735.57","624.00","650.09","583.38","599.82","484.18","472.48","329.66","390.30","450.61","513.20","499.62","485.72","429.45","368.28","384.14","354.08"
"Sierra Leone","43.16","46.02","46.25","43.08","45.54","81.38","114.16","138.29","81.88","50.08","47.91","36.56","37.96","36.25","30.98","29.28","26.27","22.70","21.90","22.93","18.78","17.18"
"Singapore","3969.89","3367.76","2826.01","2641.51","2599.30","2450.90","2279.02","2188.34","2069.37","1824.98","1670.38","1487.38","1316.83","1278.49","1100.99","972.20","892.43","848.58","833.35","744.08","689.15","792.43"
"Slovakia","1684.52","1393.62","1342.07","1299.91","1189.07","1175.60","1108.88","1289.35","1370.47","1319.44","1352.44","1296.54","1320.09","1251.68","1029.30","729.01","601.31","511.53","344.47","254.13","212.22","203.51"
"Slovenia","2774.99","2417.21","2219.10","2169.58","1925.03","1835.41","1775.86","2062.38","2055.38","1974.85","2147.81","2017.15","2125.06","2179.45","1795.95","1541.66","1449.19","1368.65","1203.06","944.87","826.23","796.65"
"Solomon Islands","106.35","106.61","103.72","92.48","94.77","96.69","94.91","109.28","101.11","101.77","95.25","73.04","92.10","74.60","88.29","87.40","89.12","65.09","54.08","77.66","61.41","47.13"
"South Africa","583.67","492.21","551.44","570.10","536.78","463.34","499.36","547.83","602.68","654.25","694.10","628.13","492.94","446.90","460.02","422.19","404.40","365.53","288.38","180.86","204.26","237.83"
"South Sudan","32.68","47.68","34.99","30.24","27.01","","","","","","","","","","","","","","","","",""
"Spain","3234.29","2899.02","2716.83","2741.38","2524.68","2376.60","2349.09","2679.48","2629.47","2590.23","2908.92","2789.64","2937.72","2995.19","2606.28","2242.16","2060.32","1924.27","1640.92","1174.58","1045.05","1005.28"
"Sri Lanka","166.18","157.91","160.31","159.46","146.17","148.62","146.95","134.75","134.59","110.83","116.34","106.14","98.56","91.53","72.86","64.82","56.93","50.65","42.20","42.74","41.31","43.72"
"Sudan","21.58","23.34","35.51","35.53","71.14","93.67","98.25","93.15","102.36","79.19","83.55","76.49","83.11","85.99","84.98","57.64","38.72","30.63","23.62","17.47","15.86","14.61"
"Suriname","298.93","464.22","611.95","450.16","325.38","341.92","517.38","445.36","438.41","409.35","378.15","402.41","382.56","336.32","310.97","315.47","243.13","213.90","167.76","158.49","91.58","166.08"
"Sweden","6900.78","6003.09","5652.99","6005.07","5837.77","5680.73","5598.68","6605.91","6696.87","6254.44","6351.22","4416.15","4136.17","4627.56","4310.33","3765.40","3547.63","3488.17","3110.20","2459.10","2155.85","2173.19"
"Switzerland","10897.45","10085.46","9341.06","9212.43","9119.97","9078.76","9082.45","9307.97","9118.19","8753.82","9138.37","7640.45","7297.38","7120.65","6154.70","5671.98","5673.94","5608.70","5018.53","4211.73","3763.38","3559.82"
"Syrian Arab Republic","","","","","","","","","","63.14","74.86","88.69","87.92","83.16","72.41","64.37","62.80","60.80","60.61","63.64","58.61","54.56"
"Turkiye","441.06","395.24","397.41","387.66","437.37","459.93","446.76","519.90","546.72","519.89","526.18","532.93","493.93","563.64","506.39","411.87","360.65","296.14","235.91","184.31","151.55","196.78"
"Tajikistan","73.43","69.69","61.77","59.66","57.87","55.80","63.64","73.94","68.29","57.38","49.09","42.45","39.03","41.43","28.61","20.05","17.37","14.63","10.95","8.21","7.56","5.92"
"Thailand","364.37","305.09","289.18","275.67","247.99","230.61","219.92","214.52","208.61","202.52","192.57","169.38","150.36","149.71","125.63","103.65","90.88","83.10","76.24","69.74","57.20","62.15"
"Timor-Leste","135.00","120.87","79.26","78.95","86.75","92.98","101.42","92.88","102.55","71.29","64.28","52.43","49.87","43.27","30.09","27.40","25.17","19.86","15.03","","",""
"Togo","54.15","54.17","50.16","53.82","52.89","51.94","37.41","43.02","40.56","36.27","35.26","31.36","29.04","27.68","22.97","18.61","17.79","16.90","15.47","12.65","11.21","11.23"
"Tonga","279.25","246.84","229.94","219.29","212.57","191.94","169.95","202.64","163.81","207.01","155.89","166.61","117.48","191.02","134.67","149.32","108.33","102.74","68.09","62.70","55.32","53.43"
"Trinidad and Tobago","1125.40","1045.73","1071.90","1055.90","1058.94","1041.02","1039.06","990.25","951.98","878.46","857.57","811.33","764.35","740.37","657.96","561.20","523.75","426.37","354.66","321.01","270.08","263.68"
"Tunisia","265.46","246.60","209.53","212.39","220.81","237.17","246.11","283.72","280.64","266.31","267.08","237.90","228.49","227.53","199.67","176.49","167.67","165.23","147.15","123.13","112.57","109.57"
"Turkmenistan","565.26","483.80","488.62","457.07","461.37","408.20","390.99","422.53","363.11","307.66","267.01","214.19","187.77","247.25","273.25","363.31","335.88","311.55","204.34","130.01","121.90","75.75"
"Tuvalu","1070.96","879.49","1109.27","820.40","1014.11","714.24","457.81","522.54","507.16","492.84","516.60","476.29","330.92","314.00","294.89","294.80","244.13","230.17","289.57","217.83","268.20","349.95"
"Uganda","43.45","36.88","33.40","32.99","31.48","39.13","40.16","51.04","53.00","55.14","55.31","51.96","44.42","40.08","36.13","31.63","25.88","18.61","14.23","15.74","15.98","16.41"
"Ukraine","367.98","269.73","246.91","221.47","186.90","157.25","157.51","212.76","280.93","275.56","244.36","202.87","168.74","216.25","186.15","148.43","116.28","84.50","68.88","52.88","44.77","35.10"
"United Arab Emirates","2351.81","2191.81","1990.28","1914.93","1726.24","1599.40","1439.30","1656.27","1601.55","1480.73","1500.80","1325.20","1284.76","1321.94","1126.81","1054.33","978.90","911.39","862.90","821.35","743.05","753.08"
"United Kingdom of Great Britain and Northern Ireland","5738.48","4906.24","4268.68","4226.21","3910.81","4017.34","4433.86","4697.76","4304.48","4242.23","4199.08","3956.39","3914.20","4297.48","4367.54","3857.49","3536.32","3366.34","2784.54","2306.13","2052.35","2020.53"
"United Republic of Tanzania","37.16","31.39","39.56","40.83","38.66","36.26","32.91","39.48","43.09","41.64","37.43","36.90","33.39","36.01","35.99","35.36","27.53","23.29","20.26","16.93","15.08","12.26"
"United States of America","12012.24","11758.42","10658.40","10280.53","9902.82","9599.89","9248.93","8828.48","8433.70","8274.37","8021.59","7833.04","7602.75","7347.45","7132.45","6779.23","6404.19","6047.82","5708.55","5304.52","4881.21","4533.83"
"Uruguay","1620.33","1427.14","1677.10","1697.01","1655.83","1454.55","1410.32","1480.02","1500.73","1332.75","1232.05","1032.66","817.64","803.44","572.52","495.72","441.00","372.46","380.19","432.80","673.93","693.68"
"Uzbekistan","157.19","120.50","98.59","82.34","93.05","129.12","131.75","117.57","139.59","126.90","108.98","92.13","71.37","60.78","46.50","37.65","32.25","27.80","25.43","24.34","30.27","35.41"
"Vanuatu","133.15","116.56","101.97","102.08","83.78","80.82","114.26","104.34","126.39","114.38","110.28","96.37","80.40","79.24","70.28","65.47","59.98","60.83","53.21","50.72","44.34","46.83"
"Venezuela (Bolivarian Republic of)","160.10","152.76","113.29","165.32","","","","","","","","","","","","","","","","","",""
"Viet Nam","172.55","154.24","173.65","164.24","149.31","134.45","122.27","120.03","104.46","109.55","97.18","85.40","69.81","64.12","53.68","45.87","38.01","31.21","24.30","21.37","24.96","20.58"
"Yemen","","","","","","","63.30","75.42","74.30","70.13","61.27","64.44","62.60","66.47","55.68","48.03","40.91","36.90","33.59","26.28","25.46","24.14"
"Zambia","75.34","60.44","85.64","70.37","71.52","55.88","57.92","66.05","84.19","69.97","65.09","58.40","59.37","62.26","51.92","59.46","45.59","30.50","27.12","23.50","19.40","15.19"
"Zimbabwe","62.74","50.68","54.81","114.63","92.25","106.19","105.10","114.44","100.14","89.26","87.49","98.25","","","","","","","","","",""
