"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Burkina Faso","56.95","54.18","41.07","39.00","43.07","39.65","32.44","38.37","42.41","33.78","33.82","32.87","30.69","28.90","27.05","20.65","17.50","17.10","11.44","8.52","7.52","7.37"
"Burundi","24.27","27.07","22.96","19.27","19.77","19.17","18.20","18.59","20.84","20.57","23.81","25.12","18.82","15.07","15.68","14.49","11.43","9.12","6.03","6.64","7.70","5.83"
"Cote d'Ivoire","81.87","85.17","73.65","70.97","68.62","66.39","62.52","79.31","71.52","74.48","72.45","71.99","72.83","75.88","64.68","60.49","62.35","67.68","64.14","57.25","54.03","54.16"
"Cabo Verde","247.91","196.27","171.77","178.78","165.04","144.33","139.49","181.44","181.30","167.49","152.28","142.88","127.80","125.54","125.57","111.28","94.59","92.05","83.48","68.22","62.79","58.90"
"Cambodia","122.42","112.21","114.49","93.02","79.17","78.36","72.52","73.59","72.12","69.02","66.05","54.10","55.72","49.01","30.92","33.03","32.52","29.03","25.31","24.67","22.66","19.78"
"Cameroon","63.79","58.10","56.19","57.70","50.28","51.25","50.32","61.80","56.61","56.36","57.71","49.50","50.60","54.00","48.62","44.02","42.61","41.75","38.11","31.42","27.47","28.79"
"Canada","6470.07","5668.35","5115.98","5080.32","4920.73","4667.70","4677.83","5231.74","5483.26","5538.94","5423.06","5083.98","4368.86","4491.23","4221.93","3788.69","3291.22","2916.25","2552.26","2149.38","2055.76","2001.67"
"Central African Republic","42.93","40.11","33.94","49.18","27.64","20.26","17.71","18.03","16.79","20.60","18.94","16.40","21.83","18.68","18.95","15.91","14.67","13.73","13.01","10.62","9.26","9.86"
"Chad","35.63","35.73","31.30","32.31","31.06","33.10","35.03","43.68","39.98","37.50","38.68","36.50","36.03","38.15","35.18","34.98","32.29","28.63","18.59","18.58","12.00","10.38"
"Chile","1518.04","1280.63","1369.48","1457.27","1367.72","1179.73","1133.28","1150.06","1183.62","1081.46","994.67","870.71","738.28","726.74","649.92","571.90","500.87","427.44","349.78","322.87","326.97","356.74"
"China","670.51","583.43","539.62","504.80","440.59","398.79","393.78","363.01","329.78","285.31","239.75","189.34","165.29","134.21","98.88","82.79","73.29","64.54","56.79","50.16","44.57","42.99"
"Colombia","557.54","462.23","500.73","517.16","495.27","447.07","468.61","586.88","579.88","546.21","501.30","452.05","383.55","378.68","309.11","239.65","209.23","159.21","129.34","131.76","138.03","134.28"
"Comoros","99.04","88.67","77.80","74.44","74.52","63.15","60.87","84.27","81.44","76.77","80.95","69.09","69.43","73.74","69.88","65.71","67.78","70.50","63.82","51.06","45.25","47.50"
"Congo","80.51","80.81","58.90","47.68","52.68","54.67","57.68","71.48","72.29","71.69","59.84","54.86","48.93","63.79","42.22","36.17","31.10","27.68","21.65","17.09","20.42","17.45"
"Cook Islands","736.66","607.31","575.21","557.52","556.17","527.54","490.77","590.15","530.98","516.72","538.05","507.75","450.32","480.92","544.26","467.82","513.76","439.35","353.95","277.41","223.73","190.94"
"Costa Rica","948.92","953.08","914.88","902.22","853.75","870.74","875.35","822.91","816.88","776.43","742.14","654.17","529.61","510.99","423.64","359.79","309.51","290.13","287.37","276.24","255.18","247.70"
"Croatia","1384.12","1094.53","1040.09","1024.62","902.63","840.90","795.51","909.37","889.94","1029.97","1132.50","1126.37","1187.55","1258.87","1041.03","816.02","727.13","634.62","512.15","386.44","388.32","371.06"
"Cuba","","1186.16","1013.10","973.14","980.09","984.25","985.42","864.16","710.79","601.42","695.99","608.96","676.22","610.09","570.31","387.44","331.99","232.51","227.70","213.96","198.59","181.15"
